normalized_code,product_name,yarn_count,yarn_code,fabric_structure,width_inch,clothno_raw,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"30TC65-35/SJ/375","30TC65-35 Single Jersey 37.5""","30","TC65-35","Single Jersey","37.5","30TC65-35/SJ/375","Single Jersey","37""-37.5""","4","1527.60","143.00"
"30SMSJ/19","30SM Single Jersey 19""","30","SM","Single Jersey","19","30SMSJ/19","Single Jersey","19""","4","1110.06","217.50"
"24CMRB/32","24CM Rib 32""","24","CM","Rib","32","24CMRB/32","RIB","32""","4","812.30","225.00"
"24CMSJ/26","24CM Single Jersey 26""","24","CM","Single Jersey","26","*24CMSJ/26","Single Jersey","26""","4","1324.89","232.50"
"30TKSJ/36","30TK Single Jersey 36""","30","TK","Single Jersey","36","30TKSJ/36","Single Jersey","36""","4","574.28","137.25"
"28CMSJ/20","28CM Single Jersey 20""","28","CM","Single Jersey","20","28CMSJ/20","Single Jersey","20""","4","2685.16","231.25"
"28CMRBยางยืด","28CM Rib 30""","28","CM","Rib","30","28CMRBยางยืด","RIB","30""","4","1805.47","240.00"
"30CMSJ/345-2","30CM Single Jersey 3452""","30","CM","Single Jersey","3452","30CMSJ/345-2","Single Jersey","34.5""","4","1762.00","168.75"
"30CMSJ/23.5","30CM Single Jersey 23.5""","30","CM","Single Jersey","23.5","30CMSJ/23.5","Single Jersey","23.5""","4","1472.70","208.00"
"COTTON","COTTON Single Jersey Unknown width","","COTTON","Single Jersey","","COTTON","Single Jersey","อบตามสภาพ","4","1460.40","65.00"
"30CMSJ/34","30CM Single Jersey 34""","30","CM","Single Jersey","34","30CMSJ/34","Single Jersey","34""-34.5""","4","1340.71","210.75"
"ผ้าขูดขน","ผ้าขูดขน ผ้าขูดขน 72""","","ผ้าขูดขน","ผ้าขูดขน","72","ผ้าขูดขน","ผ้าขูดขน","72""","4","1487.35","242.50"
"30CMRB2*1ยาง","30CM Rib 24""","30","CM","Rib","24","30CMRB2*1ยาง","RIB","24""","4","117.10","216.75"
"45TC80/20IT/365","45TC80 Interlock 36.5""","45","TC80","Interlock","36.5","45TC80/20 IT/365","Interlock","36.5""-37""","3","2755.23","131.33"
"20TD104RB/30","20TD104 Rib 30""","20","TD104","Rib","30","20TD104RB/30","RIB","30""","3","1078.01","136.67"
"20TC80/20SJ/43","20TC80 Single Jersey 43""","20","TC80","Single Jersey","43","20TC80/20SJ/43","Single Jersey","43""","3","3210.11","115.00"
"20TKปก","20TK Collar 3501650""","20","TK","Collar","3501650","20TK ปก","Collar","3.50""X 16.50""","3","57.60","93.33"
"45TC80/20IT/46","45TC80 Interlock 46""","45","TC80","Interlock","46","45TC80/20 IT/46","Interlock","45.5""-46""","3","1177.65","153.33"
"ผ้าวอร์ม/32","ผ้าวอร์ม ผ้าวอร์ม 32""","","ผ้าวอร์ม","ผ้าวอร์ม","32","ผ้าวอร์ม/32","ผ้าวอร์ม","32""-33""","3","939.84","160.00"
"30CVCจูติ/48","30CVC Juti 48""","30","CVC","Juti","48","30CVC จูติ/48","Juti","48""","3","259.48","221.67"
"30TD106SJ/365","30TD106 Single Jersey 36.5""","30","TD106","Single Jersey","36.5","30TD106SJ/365","Single Jersey","36""-37""","3","2041.55","148.33"
"20TK+ไมโครจูติ/475","20TK Juti 47.5""","20","TK","Juti","47.5","*20TK+ไมโครจูติ/475","Juti","47.5""","3","265.90","128.40"
"20CVCRB/32","20CVC Rib 32""","20","CVC","Rib","32","20CVCRB/32","RIB","32""","3","1245.30","235.00"
"30CVCRB2/32","30CVC Rib 32""","30","CVC","Rib","32","30CVCRB2/32","RIB","32""","3","236.81","197.33"
"20CVCSJ/365","20CVC Single Jersey 36.5""","20","CVC","Single Jersey","36.5","20CVCSJ/365","Single Jersey","36""-37""","3","666.60","215.00"
"POLYINT/72","POLY Interlock 72""","","POLY","Interlock","72","POLY INT/72","Interlock","72""(รวมริม)","3","918.30","106.00"
"30TKSJ/55","30TK Single Jersey 55""","30","TK","Single Jersey","55","30TKSJ/55","Single Jersey","55""-56""","3","988.49","144.00"
"ผ้าวอร์มสองหน้า","ผ้าวอร์มสองหน้า ผ้าวอร์ม 6466""","","ผ้าวอร์มสองหน้า","ผ้าวอร์ม","6466","ผ้าวอร์มสองหน้า","ผ้าวอร์ม","64""-66""","3","1758.58","150.00"
"32SMIT/43","32SM Interlock 43""","32","SM","Interlock","43","32SMIT/43","Interlock","43""-44""","3","940.00","200.00"
"20JCMRB/32","20CM Rib 32""","20","CM","Rib","32","20JCMRB/32","RIB","32""","3","892.91","212.00"
"24CMRB/28","24CM Rib 28""","24","CM","Rib","28","24CMRB/28","RIB","28""-29""","3","547.34","218.33"
"24CMSJ/24","24CM Single Jersey 24""","24","CM","Single Jersey","24","*24CMSJ/24","Single Jersey","24""","3","875.80","238.33"
"30TD1603RB/32","30TD1603 Rib 32""","30","TD1603","Rib","32","30TD1603RB/32","RIB","32""","3","377.58","153.33"
"30CMSJ/36","30CM Single Jersey 36""","30","CM","Single Jersey","36","*30CMSJ/36","Single Jersey","36""","3","761.60","238.33"
"28CMSJ/345","28CM Single Jersey 34.5""","28","CM","Single Jersey","34.5","28CMSJ/345","Single Jersey","34.5""","3","755.32","230.00"
"20TKSJ/365","20TK Single Jersey 36.5""","20","TK","Single Jersey","36.5","20TK SJ/365","Single Jersey","36.5""","3","1582.18","120.00"
"30TKคาเนโกะ/72","30TK Lacoste 72""","30","TK","Lacoste","72","30TK คาเนโกะ /72","Lacoste","72""","3","1811.39","133.67"
"28CMSJ/22","28CM Single Jersey 22""","28","CM","Single Jersey","22","28CMSJ/22","Single Jersey","22""","3","776.94","216.67"
"ไมโคร","ไมโคร Single Jersey 72""","","ไมโคร","Single Jersey","72","ไมโคร","Single Jersey","72","3","384.30","98.33"
"308CMSJ/40","308CM Single Jersey 40""","308","CM","Single Jersey","40","308CMSJ/40","Single Jersey","40""","3","787.01","235.00"
"40SMINT/37","40SM Interlock 37""","40","SM","Interlock","37","*40SM INT/37","Interlock","37""","3","2019.00","220.00"
"RIB/32","RIB Single Jersey 32""","","RIB","Single Jersey","32","RIB/32","Single Jersey","32/60","3","1874.80","65.00"
"RIB/30""","RIB RIB 30""","","RIB","RIB","30","RIB/30""","RIB","30""","3","813.60","65.00"
"ผ้ายืด","ผ้ายืด Single Jersey 72""","","ผ้ายืด","Single Jersey","72","ผ้ายืด","Single Jersey","72""","3","158.50","160.00"
"POLYIT/44","POLY Interlock 44""","","POLY","Interlock","44","POLY IT/44","Interlock","44""-45""","3","510.62","121.33"
"20OESJ/22","20OE Single Jersey 22""","20","OE","Single Jersey","22","20OESJ/22","Single Jersey","22""","3","663.60","156.67"
"ดรายเท็กซ์","ดรายเท็กซ์ ดรายเท็กซ์ 38""","","ดรายเท็กซ์","ดรายเท็กซ์","38","ดรายเท็กซ์","ดรายเท็กซ์","38""","3","791.45","176.67"
"20TC80/20RB/28","20TC80 Rib 28""","20","TC80","Rib","28","20TC80/20RB/28","RIB","28.5""-29""","2","1203.69","135.00"
"30TC80/20SJ/365","30TC80 Single Jersey 36.5""","30","TC80","Single Jersey","36.5","*30TC80/20SJ/365","Single Jersey","37""-37.5""","2","899.57","155.00"
"45TC80/20IT/39","45TC80 Interlock 39""","45","TC80","Interlock","39","45TC80/20IT/39","Interlock","39""-40""","2","870.72","140.00"
"32CMSJ/20*","32CM Single Jersey 20""","32","CM","Single Jersey","20","*32CMSJ/20*","Single Jersey","20""","2","471.69","215.00"
"20TKแขน","20TK Armbands 11425""","20","TK","Armbands","11425","20TK แขน","Armbands","1 1/4"" X25 ""","2","16.80","80.00"
"20CMRB/30","20CM Rib 30""","20","CM","Rib","30","20CMRB/30","RIB","28""-29""","2","830.15","242.50"
"30SMSJ/24","30SM Single Jersey 24""","30","SM","Single Jersey","24","30SMSJ/24","Single Jersey","24""","2","666.80","240.00"
"45TKRB/275","45TK Rib 27.5""","45","TK","Rib","27.5","45TKRB/275","RIB","27-28""","2","874.47","167.50"
"20TDRB/101","20TD Rib 101""","20","TD","Rib","101","20TDRB/101","RIB","32""","2","1017.22","150.00"
"32CMSJ/215","32CM Single Jersey 21.5""","32","CM","Single Jersey","21.5","32CMSJ/215","Single Jersey","21.5""","2","1439.40","254.00"
"20OEWK/22*","20OEW Single Jersey 22""","20","OEW","Single Jersey","22","*20OEWK/22*","Single Jersey","22""","2","1069.16","220.00"
"20OEWK/18*","20OEW Single Jersey 18""","20","OEW","Single Jersey","18","*20OEWK/18*","Single Jersey","18""","2","1340.78","209.00"
"30CMSJ/19","30CM Single Jersey 19""","30","CM","Single Jersey","19","30CMSJ/19","Single Jersey","19""","2","378.74","280.00"
"เม้ดข้าวสาร","เม้ดข้าวสาร Single Jersey 72""","","เม้ดข้าวสาร","Single Jersey","72","เม้ดข้าวสาร","Single Jersey","72""","2","240.88","135.00"
"20OESJ/21","20OE Single Jersey 21""","20","OE","Single Jersey","21","20OESJ/21","Single Jersey","21""","2","208.55","202.50"
"C20RB(BC)","C20(BC) Rib 32""","","C20(BC)","Rib","32","C 20RB (BC)","RIB","32""","2","250.91","227.50"
"20TD106SJ/72","20TD106 Single Jersey 72""","20","TD106","Single Jersey","72","20TD106SJ/72","Single Jersey","72""","2","743.74","140.00"
"34TKRB/41","34TK Rib 41""","34","TK","Rib","41","34TKRB/41","RIB","40""-41""","2","1022.64","133.50"
"30SMSJ/21","30SM Single Jersey 21""","30","SM","Single Jersey","21","30SMSJ/21","Single Jersey","21""","2","315.00","235.00"
"24CMSJ/22","24CM Single Jersey 22""","24","CM","Single Jersey","22","*24CMSJ/22","Single Jersey","22""","2","722.97","232.50"
"34TC80/20SJ/375","34TC80 Single Jersey 37.5""","34","TC80","Single Jersey","37.5","34TC80/20SJ/375","Single Jersey","37.5""-38.5""","2","1033.10","137.00"
"45TKIT/46","45TK Interlock 46""","45","TK","Interlock","46","45TKIT/46","Interlock","46""-47""","2","326.28","140.00"
"ผ้ายืดไมโคร","ผ้ายืดไมโคร Single Jersey 48""","","ผ้ายืดไมโคร","Single Jersey","48","ผ้ายืดไมโคร","Single Jersey","48","2","227.90","160.00"
"34TC80/20IT/365","34TC80 Interlock 36.5""","34","TC80","Interlock","36.5","34TC80/20IT/365","Interlock","36""-37""","2","655.41","167.28"
"30TC65-35/KK/36","30TC65-35 Lacoste 36""","30","TC65-35","Lacoste","36","30TC65-35/KK/36","Lacoste","36""","2","383.84","205.00"
"30TD106RB2/32","30TD1062 Rib 32""","30","TD1062","Rib","32","30TD106RB2/32","RIB","32""-33""","2","145.62","145.00"
"20OEWRB/30","20OEW Rib 30""","20","OEW","Rib","30","20OEWRB/30","RIB","30""","2","212.71","190.00"
"32SMSJ/19","32SM Single Jersey 19""","32","SM","Single Jersey","19","32SMSJ/19","Single Jersey","19""","2","569.91","235.00"
"45TC80/20IT/40","45TC80 Interlock 40""","45","TC80","Interlock","40","45TC80/20IT/40","Interlock","40""-41""","2","409.39","145.00"
"28CMSJX2/41","28CM Single Jersey 41""","28","CM","Single Jersey","41","28CMSJX2/41","Single Jersey","41""-42""","2","553.80","220.00"
"308CMSJ/235","308CM Single Jersey 23.5""","308","CM","Single Jersey","23.5","308CMSJ/235","Single Jersey","23.5""","2","379.60","207.50"
"308CMSJ/20","308CM Single Jersey 20""","308","CM","Single Jersey","20","308CMSJ/20","Single Jersey","20""","2","985.10","190.00"
"28CMRB/34","28CM Rib 34""","28","CM","Rib","34","28CMRB/34","Single Jersey","34.5""","2","611.50","182.50"
"20CMSJ/74","20CM Single Jersey 74""","20","CM","Single Jersey","74","20CMSJ/74","Single Jersey","74""รวมริม","2","1059.30","200.00"
"45TKINT/36","45TK Interlock 36""","45","TK","Interlock","36","45TKINT/36","Interlock","36""","2","205.20","145.00"
"30TC65-35/32""","30TC65-35 RIB 32""","30","TC65-35","RIB","32","30TC65-35/32""","RIB","32""","2","731.34","150.00"
"30CMSJ/24","30CM Single Jersey 24""","30","CM","Single Jersey","24","*30CMSJ/24","Single Jersey","24""","2","332.50","230.00"
"30SMSJ/22*","30SM Single Jersey 22""","30","SM","Single Jersey","22","30SMSJ/22*","Single Jersey","22""","2","900.20","145.00"
"30CMSJX2/365","30CM Single Jersey 36.5""","30","CM","Single Jersey","36.5","30CMSJX2/365","Single Jersey","36.5""-37""","2","903.50","190.00"
"30TC65-35/IT/365","30TC65-35 Interlock 36.5""","30","TC65-35","Interlock","36.5","30TC65-35/IT/365","Interlock","36""-37""","2","648.42","165.50"
"20OESJ/20","20OE Single Jersey 20""","20","OE","Single Jersey","20","20OESJ/20","Single Jersey","20""","2","536.30","170.00"
"AIRYENDYRO","AIRYENDYRO Interlock 36""","","AIRYENDYRO","Interlock","36","AIRY ENDYRO","Interlock","36""","2","323.88","200.00"
"20CMRIB1X1ชักร่อง8X4","20CM ชักร่อง 8X4 28""","20","CM","ชักร่อง 8X4","28","20CMRIB1X1ชักร่อง8X4","ชักร่อง 8X4","28""","2","38.58","222.50"
"30CASJ/22","30CA Single Jersey 22""","30","CA","Single Jersey","22","30CASJ/22","Single Jersey","22""","1","94.62",""""
"32SMSJ/405","32SM Single Jersey 40.5""","32","SM","Single Jersey","40.5","*32SMSJ/405","Single Jersey","40.5-41""","1","333.27","176.70"
"32SMSJ/35","32SM Single Jersey 35""","32","SM","Single Jersey","35","32SMSJ/35","Single Jersey","35""","1","418.10","180.00"
"34TC80/20IT/36","34TC80 Interlock 36""","34","TC80","Interlock","36","34TC80/20 IT/36","Interlock","36-37""","1","509.87","118.00"
"34TC80/20SJ/24","34TC80 Single Jersey 24""","34","TC80","Single Jersey","24","34TC80/20SJ/24","Single Jersey","24""","1","163.12","150.00"
"30SMSJ/22","30SM Single Jersey 22""","30","SM","Single Jersey","22","*30SMSJ/22","Single Jersey","22""","1","223.00","110.00"
"30SMSJ/345","30SM Single Jersey 34.5""","30","SM","Single Jersey","34.5","30SMSJ/345","Single Jersey","34.5""-35""","1","362.30","195.00"
"20OEWSJ/36","20OEW Single Jersey 36""","20","OEW","Single Jersey","36","20OEWSJ/36","Single Jersey","36""","1","524.88","210.00"
"30TD101SJ/73","30TD101 Single Jersey 73""","30","TD101","Single Jersey","73","*30TD101SJ/73","Single Jersey","73""","1","347.79","139.73"
"30SMSJ/73","30SM Single Jersey 73""","30","SM","Single Jersey","73","30SMSJ/73","Single Jersey","73""พอดี(ม่รวมริมกาว)","1","322.48","170.78"
"34TKRB/27","34TK Rib 27""","34","TK","Rib","27","*34TKRB/27","Single Jersey","27""","1","610.18","115.00"
"34TC80/20RB/32","34TC80 Rib 32""","34","TC80","Rib","32","34TC80/20RB/32","RIB","32""","1","416.36","155.00"
"20TD104SJ/72","20TD104 Single Jersey 72""","20","TD104","Single Jersey","72","20TD104SJ/72","Single Jersey","72""(ไม่รวมริม)","1","629.30","145.00"
"POLYIT/80","POLY Interlock 80""","","POLY","Interlock","80","POLY IT/80","Interlock","80""","1","346.62","130.00"
"34TC80/20IT/425","34TC80 Interlock 42.5""","34","TC80","Interlock","42.5","34TC80/20 IT/425","Interlock","84""""","1","603.28","155.00"
"30SMSJ/23","30SM Single Jersey 23""","30","SM","Single Jersey","23","30SMSJ/23","Single Jersey","23""","1","651.30","240.00"
"20TD101SJ/72","20TD101 Single Jersey 72""","20","TD101","Single Jersey","72","20TD101SJ/72","Single Jersey","72""","1","344.25","145.00"
"32CMSJ205","32CM Single Jersey 20""","32","CM","Single Jersey","20","32CMSJ205","Single Jersey","20""","1","292.70","280.00"
"32CMSJ235","32CM Single Jersey 23""","32","CM","Single Jersey","23","32CMSJ235","Single Jersey","23""","1","536.20","290.00"
"32CMSJ/225","32CM Single Jersey 22.5""","32","CM","Single Jersey","22.5","32CMSJ/225","Single Jersey","22""","1","726.10","245.00"
"45TC80/20IT/87","45TC80 Interlock 87""","45","TC80","Interlock","87","45TC80/20IT/87","Interlock","87""","1","418.22","165.00"
"ไมโครเม็ดข้าวโพด","ไมโครเม็ดข้าวโพด Single Jersey 72""","","ไมโครเม็ดข้าวโพด","Single Jersey","72","ไมโครเม็ดข้าวโพด","Single Jersey","72","1","19.14","225.00"
"ไมโครหกเหลี่ยม","ไมโครหกเหลี่ยม Single Jersey 72""","","ไมโครหกเหลี่ยม","Single Jersey","72","ไมโครหกเหลี่ยม","Single Jersey","72","1","98.10","245.00"
"20OEWSJ/16","20OEW Single Jersey 16""","20","OEW","Single Jersey","16","20OEWSJ/16","Single Jersey","16""","1","379.79","188.00"
"34TKRB/29","34TK Rib 29""","34","TK","Rib","29","*34TKRB/29","RIB","29""-30""","1","27.76","138.00"
"20OEWK/24*","20OEW Single Jersey 24""","20","OEW","Single Jersey","24","*20OEWK/24*","Single Jersey","24""","1","451.78","188.00"
"เม็ดข้าวโพด","เม็ดข้าวโพด Single Jersey 72""","","เม็ดข้าวโพด","Single Jersey","72","เม็ดข้าวโพด","Single Jersey","72""","1","126.15","145.00"
"20OEWSJ/21","20OEW Single Jersey 21""","20","OEW","Single Jersey","21","20OEWSJ/21","Single Jersey","20""","1","604.74","160.00"
"ผ้าวอร์มเทียม/66","ผ้าวอร์มเทียม Interlock 66""","","ผ้าวอร์มเทียม","Interlock","66","ผ้าวอร์มเทียม/66","Interlock","66""","1","53.58","140.00"
"45TCINT/36","45TC Interlock 36""","45","TC","Interlock","36","45TCINT/36","Interlock","36""","1","168.00","180.00"
"30CVCSJ/38","30CVC Single Jersey 38""","30","CVC","Single Jersey","38","30CVCSJ/38","Single Jersey","38""","1","42.90","195.00"
"20TD104JT/48","20TD104 Juti 48""","20","TD104","Juti","48","20TD104JT/48","Juti","48""","1","103.37","140.00"
"32SMSJ/345","32SM Single Jersey 34.5""","32","SM","Single Jersey","34.5","32SMSJ/345","Single Jersey","34..5""","1","104.21","255.00"
"20CMปก","20CM Collar 35017""","20","CM","Collar","35017","20CM ปก","Collar","3.50""X17""","1","12.20","64.00"
"20TD104SJ/22","20TD104 Single Jersey 22""","20","TD104","Single Jersey","22","20TD104SJ/22","Single Jersey","22""","1","342.70","115.00"
"20TD104SJ/20","20TD104 Single Jersey 20""","20","TD104","Single Jersey","20","20TD104SJ/20","Single Jersey","20""","1","342.66","115.00"
"34TKRB/40","34TK Rib 40""","34","TK","Rib","40","34TKRB/40","RIB","40""-41""","1","429.11","137.00"
"20CMSJ/16","20CM Single Jersey 16""","20","CM","Single Jersey","16","20CMSJ/16","Single Jersey","16","1","8.90","275.00"
"34TK/POLY75/72","34TK Juti 72""","34","TK","Juti","72","34TK/POLY75/72","Juti","46-47","1","237.40","160.00"
"20SMSJ/365","20SM Single Jersey 36.5""","20","SM","Single Jersey","36.5","20SMSJ/365","Single Jersey","36""-37""","1","205.74","195.00"
"30TD104RB2/24","30TD104 Rib 24""","30","TD104","Rib","24","30TD104RB2/24","RIB","24""-25""","1","663.50","137.00"
"30SMSJ/20","30SM Single Jersey 20""","30","SM","Single Jersey","20","*30SMSJ/20","Single Jersey","20""","1","120.90","225.00"
"เม็ดข้าวสารตัวหนา","เม็ดข้าวสารตัวหนา Single Jersey 72""","","เม็ดข้าวสารตัวหนา","Single Jersey","72","เม็ดข้าวสารตัวหนา","Single Jersey","72""","1","18.00","115.00"
"308CMSJ/345","308CM Single Jersey 34.5""","308","CM","Single Jersey","34.5","308CMSJ/345","Single Jersey","34.5""","1","170.60","245.00"
"45TC80/20IT/43","45TC80 Interlock 43""","45","TC80","Interlock","43","45TC80/20IT/43","Interlock","43""-44""","1","604.92","150.00"
"32CMSJ/38","32CM Single Jersey 38""","32","CM","Single Jersey","38","32CMSJ/38","Single Jersey","38""","1","14.70","165.00"
"28CMSJ/21","28CM Single Jersey 21""","28","CM","Single Jersey","21","28CMSJ/21","Single Jersey","21""","1","428.90","190.00"
"30TD106RB/30","30TD106 Rib 30""","30","TD106","Rib","30","30TD106RB/30","RIB","30""","1","36.41","145.00"
"24CMSJ/33","24CM Single Jersey 33""","24","CM","Single Jersey","33","24CMSJ/33","Single Jersey","33""","1","18.70","170.00"
"308CMแขน","308CM Armbands 15027""","308","CM","Armbands","15027","308CMแขน","Armbands","1.50""X27""","1","33.75","165.00"
"308CMแขน2","308CM Single Jersey 15027""","308","CM","Single Jersey","15027","308CMแขน 2","Single Jersey","1.50""X27""","1","33.22","200.00"
"308CMแขน1","308CM Single Jersey 15027""","308","CM","Single Jersey","15027","308CMแขน 1","Single Jersey","1.50""X27""","1","36.41","200.00"
"ไมโครRIB","ไมโครRIB Single Jersey 72""","","ไมโครRIB","Single Jersey","72","ไมโคร RIB","Single Jersey","72","1","567.80","105.00"
"30SMSJ/17","30SM Single Jersey 17""","30","SM","Single Jersey","17","30SMSJ/17","Single Jersey","17""","1","582.26","200.00"
"308CMSJ/22","308CM Single Jersey 22""","308","CM","Single Jersey","22","308CMSJ/22","Single Jersey","22""","1","246.76","200.00"
"เม็ดข้าวโพดเงา*","เม็ดข้าวโพดเงา* Single Jersey 72""","","เม็ดข้าวโพดเงา*","Single Jersey","72","*เม็ดข้าวโพดเงา *","Single Jersey","72""","1","244.04","80.00"
"20TC65/35/SJ","20TC65 Single Jersey Unknown width","20","TC65","Single Jersey","","20TC65/35/SJ","Single Jersey","36""","1","241.04","195.00"
"28CMRB2/34","28CM Rib 34""","28","CM","Rib","34","28CMRB2/34","RIB","34""","1","112.70","285.00"
"45TC80/20IT/37.5","45TC80 Interlock 37.5""","45","TC80","Interlock","37.5","45TC80/20IT/37.5","Interlock","37.5""-38""","1","203.82","135.00"
"ผ้าวอร์ม/60","ผ้าวอร์ม ผ้าวอร์ม 60""","","ผ้าวอร์ม","ผ้าวอร์ม","60","ผ้าวอร์ม/60","ผ้าวอร์ม","60""(รวมริม)","1","110.00","160.00"
"30CMSJ/19","30CM Single Jersey 19""","30","CM","Single Jersey","19","*30CMSJ/19","Single Jersey","19""","1","217.10","215.00"
"30TD104/2SJ/41","30TD104 Single Jersey 41""","30","TD104","Single Jersey","41","30TD104/2SJ/41","Single Jersey","41""","1","181.30","140.00"
"20CMSJ/35","20CM Single Jersey 35""","20","CM","Single Jersey","35","20CMSJ/35","Single Jersey","35""","1","108.70","210.00"
"30TD104RB2X2/21","30TD104 Rib 21""","30","TD104","Rib","21","30TD104RB2X2/21","RIB","21""","1","5.00","140.00"
"20TK+ไมโครจูติ/49","20TK Juti 49""","20","TK","Juti","49","20TK+ไมโคร จูติ/49","Juti","48""-49""","1","440.88","135.00"
"30CMSJ/255","30CM Single Jersey 25.5""","30","CM","Single Jersey","25.5","30CMSJ/255","Single Jersey","25.5""","1","100.70","190.00"
"28CMRBเส้นคู่","28CM Rib 22""","28","CM","Rib","22","28CMRBเส้นคู่","Single Jersey","22","1","80.40",""""
"30CMSJ/20","30CM Single Jersey 20""","30","CM","Single Jersey","20","*30CMSJ/20","Single Jersey","20""","1","661.90","190.00"
"32CMSJ/245","32CM Single Jersey 24.5""","32","CM","Single Jersey","24.5","32CMSJ/245","Single Jersey","24""","1","315.10","235.00"
"POLYIT/42","POLY Interlock 42""","","POLY","Interlock","42","POLY IT/42","Interlock","42""-43""","1","204.20","95.00"
"28CMRB2X1ลงคู่","28CM Rib 24""","28","CM","Rib","24","28CMRB2X1ลงคู่","RIB","24""","1","450.60","213.00"
"308CMSJ/18","308CM Single Jersey 18""","308","CM","Single Jersey","18","308CMSJ/18","Single Jersey","18""","1","219.72","200.00"
"20CMSJ/34""","20CM Single Jersey 34""","20","CM","Single Jersey","34","20CMSJ/34""","Single Jersey","34""","1","444.60","180.00"
"C20/SJ","C20 Single Jersey Unknown width","","C20","Single Jersey","","C 20/SJ","Single Jersey","36""","1","376.60","65.00"
"C20RIB/36""","C20RIB RIB 36""","","C20RIB","RIB","36","C 20 RIB/36""","RIB","36""","1","444.90","65.00"
"30TC80/20INT/40""","30TC80 Interlock 40""","30","TC80","Interlock","40","30TC80/20INT/40""","Interlock","40""","1","217.50","158.00"
"30TC80/20INT/76""","30TC80 Interlock 76""","30","TC80","Interlock","76","30TC80/20INT/76""","Interlock","76""","1","206.74","158.00"
"TC","TC Single Jersey 36""","","TC","Single Jersey","36","TC","Single Jersey","36""","1","560.26","65.00"
"30CMSJX2/37","30CM Single Jersey 37""","30","CM","Single Jersey","37","30CMSJX2/37","Single Jersey","37""-37.5""","1","103.20","218.00"
"BABYFRENCHTERRY","BABYFRENCHTERRY BABY FRENCH TERRY 72""","","BABYFRENCHTERRY","BABY FRENCH TERRY","72","BABY FRENCH TERRY","BABY FRENCH TERRY","72""ไม่รวมริม","1","178.40","230.00"
"20OERB/32","20OE Rib 32""","20","OE","Rib","32","20OERB/32","RIB","32""","1","366.80","155.00"
"20CMRIB1X1+ยางยืดชักร่อง8X4","20CM ชักร่อง 8X4 28""","20","CM","ชักร่อง 8X4","28","20CMRIB1X1+ยางยืดชักร่อง8X4","ชักร่อง 8X4","28""","1","17.00","230.00"
"208CMRB/28","208CM Rib 28""","208","CM","Rib","28","208CMRB/28","RIB","28""","1","40.74","168.00"
"30CMSJ/365*","30CM Single Jersey 36.5""","30","CM","Single Jersey","36.5","30CMSJ/365*","Single Jersey","36.5""","1","42.80","225.00"